example_id,clean_customer_message,customer_message,support_response,intent,expected_escalation,notes
2955,what’s up with this stupid symbol? Why do i even have I️t?!?!?!?,@AppleSupport what’s up with this stupid symbol?  Why do i even have I️t?!?!?!? https://t.co/eCrx6bN04G,@143281 Hello. Please check these tips for your next steps: https://t.co/xXaXeeSRt9 Questions? Let us know. We're here for you. https://t.co/GDrqU22YpT,keyboard_autocorrect_issue,no,keyboard stupid symbol issue
322,I have updated my WatchOS but cannot stream the radio on LTE () . Wi Fi (both tethered and direct from watch) works,@AppleSupport I have updated my WatchOS but cannot stream the radio on LTE  (@115911) . Wi Fi (both tethered and direct from watch) works,@118932 You're in the right place for help. Let us know in a DM if the issue started randomly or since you first setup the Watch. https://t.co/GDrqU22YpT,apple_watch_issue,no,Apple watch radio Streaming  OS issue
2128,The latest iOS update and its plug in with the official cable and plug but it doesn’t show the percentage go up until I reboot my phone and it changes,@AppleSupport The latest iOS update and its plug in with the official cable and plug but it doesn’t show the percentage go up until I reboot my phone and it changes,"@136075 Got it. Check out the steps in this link https://t.co/uqxquyfdn0 under 'If your device charges slowly or won’t charge', and let us know the result in DM: https://t.co/GDrqU22YpT",battery_charging_issue,no,battery charging issue
846,"Mine is shite mate....crashing, turning itself off, apps randomly freezing, won’t let me call anyone","@1756 @115858 Mine is shite mate....crashing, turning itself off, apps randomly freezing, won’t let me call anyone @115858 @AppleSupport",@124304 We'd like to look into this with you. When did these issues begin? Tell us in a DM. https://t.co/GDrqU22YpT,device_slow_freezing_crashing,yes,mobile and apps getting hang/crash
2919,“Phone”,@AppleSupport “Phone”,"@143057 if you haven't yet, the best way to get optimum performance is to create a current backup, then update to the latest version of iOS, 11.1.2. This article will guide you through the process of backing up to either iCloud or iTunes: https://t.co/4f8hwT5to6.",other_or_unclear,yes,unclear 
1211,with the new update still having problem with (notes) fix it,@AppleSupport with the new update still having problem with (notes) fix it,@127400 We're always happy to help. What type of issues are you having with Notes?,app_or_feature_issue,no,notes issues in new update
333,Can’t share any photos from iCloud with iOS 11.1,Can’t share any photos from iCloud with iOS 11.1 @AppleSupport https://t.co/Ef0VgWX6US,@119046 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,app_or_feature_issue,no,sharing photos from iCLoud
1092,your keyboard tripping my G,@AppleSupport your keyboard tripping my G,@125612 We're here for you. What issue are you experiencing with your keyboard?,keyboard_autocorrect_issue,no,keyboard issue
2628,Is it normal to update your #Mac #OS software and lose every single password? A little help here …,Is it normal to update your #Mac #OS software and lose every single password? A little help here @AppleSupport…,@140658 We'd love to assist. Was a new password created as part of the update? Or a new user account?,app_or_feature_issue,yes,losing passwords after update
2603,Cuando agrego música en mi biblioteca/playlist de Apple Music estas no se guardan. Qué pasa ahí? Es muy molesto.,@AppleSupport Cuando agrego música en mi biblioteca/playlist de Apple Music estas no se guardan. Qué pasa ahí? Es muy molesto.,@140208 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,app_or_feature_issue,yes,Apple Music issue:non-english message
2004,The last upgrade really messed up my macbook. It works way too slower and spends 10%~/h charge. Is it normal?,@AppleSupport The last upgrade really messed up my macbook. It works way too slower and spends 10%~/h charge. Is it normal?,"@135605 We're here to help! For the battery, we'd first recommend checking out this article: https://t.co/IS1pJIaZuf For the performance, how much RAM is in your computer? Which apps are open? Let us know in DM using the following link and we'll get started. https://t.co/GDrqU22YpT",battery_charging_issue,no,battery performance issue after update
255,"Tried to update my phone to the new IOS system, and my phone died while 'charging' now I lost everything. Thanks .","Tried to update my phone to the new IOS system, and my phone died while 'charging' &amp; now I lost everything. Thanks @115858.",@118252 We'd like to work with you and look into this together. Do you have a previous backup to your iPhone on either iTunes or iCloud?,ios_update_issue,yes,data lost while update
1955,you new update is crap it just drains the battery. 100%full 5 mins late 88%,@AppleSupport you new update is crap it just drains the battery. 100%full 5 mins late 88%,"@135084 That's certainly not how we want the battery to be working for you. Let's work together. To start, DM us the device you're using and how many times you charge the device on a daily basis. https://t.co/GDrqU22YpT",battery_charging_issue,no,battery draining fast after update  
2881,IPhone X please and during a phone call,@AppleSupport IPhone X please and during a phone call,"@142816 The article we provided also has the steps to use with your iPhone X. If that doesn't work for you, please let us know what happens when you try those steps.",other_or_unclear,yes,unclear 
2956,"love my iphone but legit about to fxckn switch phones! update after update and my phone keeps getting more and more crappy! get it together people pay a lot of money, this should not be happening smfh","love my iphone but legit about to fxckn switch phones! update after update and my phone keeps getting more and more crappy! get it together @115858 people pay a lot of money, this should not be happening smfh",@143282 We want you to enjoy updating your devices. Let's look into this together. DM us and we'll continue with you there. https://t.co/GDrqU22YpT,ios_update_issue,yes,update issue
1049,is there any cure for a MBP that doesn't want to go to sleep?,@AppleSupport is there any cure for a MBP that doesn't want to go to sleep?,@125417 We'd be happy to help. Do you have these settings applied to your MacBook? https://t.co/VT7bnvPnYj,app_or_feature_issue,no,
1237,My phone is frozen thanks to the new update. I can't even hard reset it.,My phone is frozen thanks to the new update. I can't even hard reset it. @applesupport,@127418 We're here for you. Which iPhone model do you have? What's happening that is causing you to force a restart?,device_slow_freezing_crashing,yes,phone freezing after update
927,Anyone know how i fix this? I took these videos on Saturday and it just doesnt let me play any videos atall in my album 😤,Anyone know how i fix this? I took these videos on Saturday and it just doesnt let me play any videos atall in my album @AppleSupport 😤 https://t.co/Ouj3F2Qmu1,"@124864 We want you to be able to view your special moments. Just to clarify, this message appears in the Photos app, correct?",other_or_unclear,no,videos not playing
2831,Just wanted to say thank you again for the quick response and help this morning!☺️ Amazing!!,@AppleSupport Just wanted to say thank you again for the quick response and help this morning!☺️ Amazing!!,"@142193 You're most welcome. Anytime you need assistance, we've got your back.",other_or_unclear,no,thankyou message
247,How do I get rid of this notification?,How do I get rid of this notification? @4305 @19762 @115858 @AppleSupport https://t.co/MF02cJYU5A,@118244 Let's see how we can help. Is that the message you see when trying to swipe the notification and get to the app?,app_or_feature_issue,no,notification issue
1832,11.0.2,@AppleSupport 11.0.2,"@134515 This is a couple versions behind the latest iOS, but we'll try some additional steps first. When this happens, do you have the Music app open? Are you able to use the Music app without any issues otherwise?",other_or_unclear,yes,
1432,Like my phone was just on a smooth 60% go on snap 20% or less warning wtf fix that shit !!!!!!,Like my phone was just on a smooth 60% go on snap 20% or less warning wtf @115858  fix that shit !!!!!!,"@128684 You've reached the right place for support. We know how important it is for your battery to last as long as possible and we're happy to help. To start, DM us with the country where you're located and model of iPhone you're using. https://t.co/GDrqU22YpT",battery_charging_issue,no,battery drain
2714,"Hello A friend of mine has trouble. He paid for a Swiss National Anthem file, sung by Red Army Choir: (Russian famous choir) and iTunes deleted the file from the library iCloud. How it is possible? cc","Hello @AppleSupport @118721 

A friend of mine has trouble. He paid for a Swiss National Anthem file, sung by Red Army Choir: (Russian famous choir) and iTunes deleted the file from the library &amp; iCloud. How it is possible?

cc @141099",@141098 Hey there! Thanks for reaching out to us about this. Shoot us a DM so we can get you pointed in the right direction. https://t.co/GDrqU22YpT,app_or_feature_issue,no,music file deleted
175,"My iPhone is so damn glitchy, not sure this upgrade to the 8 was worth it. I can’t even send pictures 😡","My iPhone is so damn glitchy, not sure this upgrade to the 8 was worth it. I can’t even send pictures 😡 @AppleSupport",@117642 Let's see how we can help over Twitter. Is iOS 11.1 the version installed and have you tried any steps? Which app is it?,other_or_unclear,yes,phone glitched
300,It gets stuck sideways and it will go up to previous messages and not show me the latest until I close the app and reopen.,@AppleSupport It gets stuck sideways and it will go up to previous messages and not show me the latest until I close the app and reopen.,"@118716 Got it. Which device are you experiencing this on? Let us know in DM, and we'll go from there. https://t.co/GDrqU22YpT",app_or_feature_issue,no,message glitch issue
2543,"Hi, how can I check my iPhone's battery health? Any way without going to an Apple Store?","@AppleSupport Hi, how can I check my iPhone's battery health? Any way without going to an Apple Store?",@139288 We can definitely understand your concern. We would want to make sure our battery health is good too.  Let's partner together in DM and go from there. https://t.co/GDrqU22YpT,battery_charging_issue,yes,battery issue
486,Hey my keyboard is going haywire when I️ type I️ #help,Hey @AppleSupport my keyboard is going haywire when I️ type I️ #help https://t.co/v7Tfc47sgK,@122932 We'd like to help. Which software version are you using on your iPhone?,keyboard_autocorrect_issue,no,keybaord issue
219,Well it froze as I was ordering a pizza so I had to. And now it’s already to 49%,@118094 @115858 @AppleSupport Well it froze as I was ordering a pizza so I had to. And now it’s already to 49%,@118093 We'd like to offer our help. Please shoot us a DM and we'll explore the battery challenge. https://t.co/GDrqU22YpT,battery_charging_issue,no,
1030,Odd that my #iphone has been acting crazy just when the #iPhoneX comes out. I haven’t had any issues than all of a sudden.... #hmm 📱🤔,Odd that my #iphone has been acting crazy just when the #iPhoneX comes out. I haven’t had any issues than all of a sudden....@115858 #hmm 📱🤔,@125176 What type of issue are you having with your iPhone?  We are standing by to assist.,other_or_unclear,yes,
204,iMessage snapchat,@AppleSupport iMessage &amp; snapchat,@117811 Thanks for letting us know. Send us a DM and we'll do everything we can to get your keyboard back on track. https://t.co/GDrqU22YpT,other_or_unclear,yes,
1934,"Help! Is there anyone who can tell me what the problem with my 2011 #MacBook Pro is? Can this be repaired, or is this really the end..? #feelingdesperate #apple #macbookpro","Help! Is there anyone who can tell me what the problem with my 2011 @115858 #MacBook Pro is? Can this be repaired, or is this really the end..? 
#feelingdesperate #apple #macbookpro @5165 https://t.co/tR9xqvJ2Y3",@135068 We are here to help. What country are you located in? Let us know in a DM &amp; we'll continue there. https://t.co/GDrqU22YpT,other_or_unclear,yes,
1271,Just updated to iOS11.1 now my 6s plus is stuck at Apple screen. I tried hard restart a few times but nothing PLEASE HELP!!,Just updated to iOS11.1 &amp; now my 6s plus is stuck at Apple screen. I tried hard restart a few times but nothing PLEASE HELP!! @applesupport,"@127608 We want your iPhone to be working as expected. Send us a DM, and we'll start there. https://t.co/GDrqU22YpT",device_slow_freezing_crashing,yes,
292,thanks! the 11.0.3 that came out the other day,@AppleSupport thanks! the 11.0.3 that came out the other day,@118521 Got it. Let us know in DM what the issue is that you're having? We'd be happy to help you out. https://t.co/GDrqU22YpT,other_or_unclear,no,
1058,iPhone 8 plus and ios 11,@AppleSupport iPhone 8 plus and ios 11,@125422 Follow up with us in DM. Tell us which version of iOS 11 you have installed there. https://t.co/GDrqU22YpT,other_or_unclear,no,
64,"When you roll the month, it does not appear and hangs","@AppleSupport When you roll the month, it does not appear and hangs",@116342 We'd like to take a closer look at this. DM us and we'll go from there. https://t.co/GDrqU22YpT,app_or_feature_issue,no,
1158,the letter i is broken,@AppleSupport the letter i is broken https://t.co/bawyLJeACD,"@126736 We're here for you. Send us a DM, and we'll take a closer look at this issue together. https://t.co/GDrqU22YpT",keyboard_autocorrect_issue,no,
701,can you help me yo you literally replying to everyone else except me 👋🏼,@AppleSupport can you help me yo you literally replying to everyone else except me 👋🏼 https://t.co/AG3KoDLJ7e,@123675 We'd be happy to see how we can help. What's going on?,other_or_unclear,yes,
1386,If I tether my iPad to my iPhone is there a way to minimize data txfr? Would turning off background app refresh make a diff?,@AppleSupport If I tether my iPad to my iPhone is there a way to minimize data txfr? Would turning off background app refresh make a diff?,"@128324 We can work toward a solution together. First we'd like to clarify your question. Do you mean, minimize data used by the iPad?",app_or_feature_issue,no,
890,Same thing,@AppleSupport Same thing,@124660 Thanks for trying. DM us and we'll continue there. https://t.co/GDrqU22YpT,other_or_unclear,yes,
2761,My tweet pretty much says it all to be honest. The battery life and the touch screen inaccuracy are the most annoying.,@AppleSupport My tweet pretty much says it all to be honest. The battery life and the touch screen inaccuracy are the most annoying.,"@141834 We'd like to gather more info about everything that's going on so we can find the best way to get this resolved. DM us more info, like which model of iPhone and the exact version of the operating system you're using for starters, and we'll team up. https://t.co/GDrqU22YpT",battery_charging_issue,no,
252,Fix my shit,Fix my shit @AppleSupport,"@118249 We're always ready to help, but we'll need more details to start. Reply by DM with which model is it and what's happening with it. https://t.co/GDrqU22YpT",other_or_unclear,yes,
424,Hello can you fix the keyboard bug in landscape mode?,Hello @AppleSupport can you fix the keyboard bug in landscape mode? https://t.co/0rOjfDZJyx,"@121040 We'd like to take a closer look at this with you to figure out what's going on. Reach out to us via DM. When you do, be sure to confirm what type of device you're using, along with the specific version of iOS 11 that's currently installed. https://t.co/GDrqU22YpT",keyboard_autocorrect_issue,no,
52,watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,@AppleSupport watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,@116335 You should still be able to control Music on your iPhone from the watch. Check out the user guide here: https://t.co/vRQnmrhVHj,apple_watch_issue,no,music feature on apple watch issue
1317,Started last night after the update!,@AppleSupport Started last night after the update!,"@127768 Alright, go ahead and send us a DM. Please include which country you're located in. Thanks! https://t.co/GDrqU22YpT",ios_update_issue,yes,
2529,"3 updates now and still have not fixed the problem of swiping up and being able to turn off or on WiFi and Bluetooth, why. Samsung is becoming more attractive everyday.","@AppleSupport 3 updates now and still have not fixed the problem of swiping up and being able to turn off or on WiFi and Bluetooth, why. Samsung is becoming more attractive everyday.","@139274 In iOS 11 and later, when you toggle the Wi-Fi or Bluetooth buttons in Control Center, your device will immediately disconnect from Wi-Fi and Bluetooth accessories. Both Wi-Fi and Bluetooth will continue to be available. More info here: https://t.co/G7BHuQnDS6",app_or_feature_issue,no,
1488,"I get you’re pushing new products but my iPhone 7 is two weeks old, quit making it freeze 6 times a day #CutTheCrap","@115858 I get you’re pushing new products but my iPhone 7 is two weeks old, quit making it freeze 6 times a day #CutTheCrap",@129043  We want to help.  Send us a DM letting us know if you are updated to iOS 11.1 https://t.co/GDrqU22YpT,device_slow_freezing_crashing,no,
2810,i am using ios 11.1.2,@AppleSupport i am using ios 11.1.2,@142178 Thanks. Do you only experience issues with AirDrop when attempting to share with your MacBook?,other_or_unclear,no,
1147,Yes on the lock screen,@AppleSupport Yes on the lock screen,@126353  We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,other_or_unclear,yes,
2751,"why does my iPhone 5 SE run out of battery life after 6 hours, I’ve only had it for just over 1 year","@AppleSupport why does my iPhone 5 SE run out of battery life after 6 hours, I’ve only had it for just over 1 year",@141827 Hi. Having great battery life on your iPhone is important. We're here to help. This article provides some great help with maximizing your battery life: https://t.co/bivpdfBNJ6,battery_charging_issue,no,
257,this glitch is blowing mine. please fix it.,@115858 this glitch is blowing mine. please fix it.,@118357 We're here to help with any issues you may be having. Tell us what's going on to get started.,other_or_unclear,yes,
2776,My brand new iPhone X won’t connect via bluetooth. Not to ANY of my devices.,@115858 My brand new iPhone X won’t connect via bluetooth. Not to ANY of my devices.,@141446 We know it's important to be able to use your new iPhone with your accessories. Let's see if we can things connected for you. What happens when you try connect? Have you ever been able to make a successful Bluetooth connection on your iPhone X?,wifi_mobile_data_issue,no,
45,Worked 👌🏽,@AppleSupport Worked 👌🏽,@116107 Glad to hear and just reach out again if you need help. Have a good one!,other_or_unclear,yes,
671,Hi Apple Support. Have updated to the latest iOS but no luck with battery :(,@AppleSupport Hi Apple Support. Have updated to the latest iOS but no luck with battery :(,@123517 DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT,battery_charging_issue,no,
371,Okay.,@AppleSupport Okay.,@119461 We've received your DM and will continue there.,other_or_unclear,no,
1090,"iPhone 7, iOS 11.1","@AppleSupport iPhone 7, iOS 11.1","@125609 After it freezes up, how do you get it to respond?  Do you have to force restart?  Please respond in DM. https://t.co/GDrqU22YpT",other_or_unclear,no,
1780,6s + and version 11.1.2 but this ain’t the first time it’s happened.,@AppleSupport 6s + and version 11.1.2 but this ain’t the first time it’s happened.,"@134135 When you look in contacts, do you see any possible duplicates of a deleted number?",other_or_unclear,yes,
140,DL the latest iOS today. Very laggy 6s. Phone is running like hammered dog shit since the DL.,@AppleSupport DL the latest iOS today. Very laggy 6s. Phone is running like hammered dog shit since the DL.,@117455 Are you seeing issues across all apps or are you noticing lag when performing specific tasks? Let us know in DM. https://t.co/GDrqU22YpT,device_slow_freezing_crashing,no,
2290,please do something about the nonexistent life-span of the batteries for iPhone 7.,@AppleSupport please do something about the nonexistent life-span of the batteries for iPhone 7.,@137155 We're happy to help. Try these tips for battery life and let us know if you still have an issue: https://t.co/TpjqFp3jxD,battery_charging_issue,no,
1125,"I have iOS 11.1, updated today. I can send to you screen recording, so you could see that bug.","@AppleSupport I have iOS 11.1, updated today. I can send to you screen recording, so you could see that bug.",@126088 That would be great. Send that to us in DM. Keep us posted and we can pick up from there. https://t.co/GDrqU22YpT,app_or_feature_issue,yes,
2339,11.1,@AppleSupport 11.1,"@137190 Have you tried updating to the latest version? Before you do this, make sure you have a backup of your iPhone. Here are the steps: https://t.co/4f8hwT5to6",other_or_unclear,no,
747,"Dear I have an iPhone 7 iTunes, both genuine. So why do I always get this message when I sync? Hope you can help. Thanks.","Dear @AppleSupport I have an iPhone 7 &amp; iTunes, both genuine. So why do I always get this message when I sync? Hope you can help. Thanks. https://t.co/QgJ14liJDw","@123704 We're happy to help out with your sync issues. To get started, let us know which version of Windows and iTunes you have installed.",app_or_feature_issue,no,
344,So over their awful customer service. Locked out of iCloud for 2 weeks promised password recovery instructions that never came🖕🏽,So over @115858 &amp; their awful customer service. Locked out of iCloud for 2 weeks &amp; promised password recovery instructions that never came🖕🏽,"@119056 The best way to verify your account &amp; assist with the Apple ID, is to get support at this link: https://t.co/UJm15vmMM2",app_or_feature_issue,yes,
2589,"did iOS11 and/or High Sierra break iCloud Contact Sync, my contacts are not syncing between my devices #icloudcontactsync","@AppleSupport did iOS11 and/or High Sierra break iCloud Contact Sync, my contacts are not syncing between my devices #icloudcontactsync","@140200 Thanks for reaching out, we're happy to help! Which version of iOS are you using and when did you notice issues with iCloud contacts syncing? https://t.co/GDrqU22YpT",app_or_feature_issue,no,
2231,"umm, where is my clock and podcast controls on the lock screen? They’re there but can’t be seen.","@AppleSupport umm, where is my clock and podcast controls on the lock screen? They’re there but can’t be seen. https://t.co/lVyiB6wwAt","@136614 We understand the concern over not being able to see all of the items on your lock screen. We're happy to look into this with you. 

To start, are you on iOS 11.1.2? If not, we'd recommend backing up and updating.",app_or_feature_issue,no,
185,I️ have 11.0.3,@AppleSupport I️ have 11.0.3,"@117650 The first step we want to take is to back it up, then update it to iOS 11.1 to rule that out: https://t.co/80YRnjDFDk",other_or_unclear,no,
135,"Yes, sorry i mean iOS 11, when I texting my keyboard it’s very slow and my battery it consumes very fast.","@AppleSupport Yes, sorry i mean iOS 11, when I texting my keyboard it’s very slow and my battery it consumes very fast.","@117183 Are you currently using Low Power Mode? If so, disable that from Settings &gt; Battery and restart. Let us know in DM if it helps. https://t.co/GDrqU22YpT",battery_charging_issue,no,
1963,"I spent the evening at Grand Central due to a continued terrible and mysterious ""FaceID true depth camera disabled"" error and received no solution - help!","@115858 @AppleSupport I spent the evening at Grand Central due to a continued terrible and mysterious ""FaceID true depth camera disabled"" error and received no solution - help! https://t.co/B8OBCN0BZz",@135092 We'd be happy to look into this with you. Let us know via DM which version of iOS you're running on this iPhone X. We'll go from there. https://t.co/GDrqU22YpT,app_or_feature_issue,yes,
991,Where exactly?,@AppleSupport Where exactly?,"@125147 We suggest contacting the store directly. Also, our Apple Sales Support Team can also assist you here: https://t.co/8gHzWPeVn5",other_or_unclear,yes,
1949,find some more reports on that in this thread (not the thread starter though),@AppleSupport find some more reports on that in this thread https://t.co/gcRQFDnGb8 (not the thread starter though),@135078 Let's get your Podcast app reflecting what you expect. Which iOS version are we working with? You can find that in Settings &gt; General &gt; About. Please DM us. https://t.co/GDrqU22YpT,other_or_unclear,yes,
212,Baje la App de la cual es gratuita y me llego un cargo de $18.11 Pesos ¿cuál es el motivo?,@AppleSupport Baje la App de @701 la cual es gratuita y me llego un cargo de $18.11 Pesos ¿cuál es el motivo?,@117964 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,app_or_feature_issue,yes,
271,It's a shame that Siri can't be used to turn off the timer. Pain to do it with messy hands. Send to the idea file?,@AppleSupport It's a shame that Siri can't be used to turn off the timer. Pain to do it with messy hands. Send to the idea file?,@118507 We value your feedback. Feel free to leave it here: https://t.co/J46COPJzUo,app_or_feature_issue,no,
1609,"I've tried to update on my computer it stated that I can't do because of some error, it takes about 2 hours. No matter how times I try I see an error message","@AppleSupport I've tried to update on my computer it stated that I can't do because of some error, it takes about 2 hours. No matter how times I try I see an error message",@130034 We would love to assist you and get your device updated. Join us in DM and we'll look into this issue further: https://t.co/GDrqU22YpT,ios_update_issue,yes,
2632,I just can’t anymore. my Apple Music is crashing. £15 down the drain becoz I can’t use it. Help!,I just can’t anymore.  @AppleSupport my Apple Music is crashing.  £15 down the drain becoz I can’t use it. Help!,"@140660 We're huge Apple Music fans ourselves, and want to ensure you're able to use your subscription. What exactly happens when you try to access Apple Music?",app_or_feature_issue,yes,
566,fix your shit. See this I️ get to it girl it’s a glitch,@AppleSupport fix your shit. See this I️ get to it girl it’s a glitch,@123170 We can definitely look into this with you. Which device are you using? DM us and let us know. https://t.co/GDrqU22YpT,other_or_unclear,yes,
1392,"why can’t i rearrange my apps on my homescreen ? With 5,8 inch screen it don’t makes sense to reach at the top of my phone !","@116333  why can’t i rearrange my apps on my homescreen ? With 5,8 inch screen it don’t makes sense to reach at the top of my phone !",@128330 You can rearrange your Home Screen or put your apps into folders. Here's how: https://t.co/M9lEQj2OhE,app_or_feature_issue,no,
2291,"My iPhone Has A Lot Of Bugs Recently, Uber And A Few Banking Apps Not Working Completely. Please Contact And Assist.","@AppleSupport My iPhone Has A Lot Of Bugs Recently, Uber And A Few Banking Apps Not Working Completely. Please Contact And Assist.",@137156 We'd like to help. What exactly happens with these apps when you try using them? Are there any app updates available in the App Store?,app_or_feature_issue,yes,
1736,", please! What is going on? My iPhone’s home screen keeps going blank daily since I updated it to #ios1112. Has anyone else reported this as a bug? When will it be fixed? Help.","@115858, please! What is going on? My iPhone’s home screen keeps going blank daily since I updated it to #ios1112. Has anyone else reported this as a bug? When will it be fixed? Help. @AppleSupport https://t.co/90JVL7lOsE","@132341 We appreciate the update and the troubleshooting you've tried so far. In DM, please let us know if this happens when using a particular app. https://t.co/GDrqU22YpT",app_or_feature_issue,yes,
1407,Yes! Lately my battery life lasts way less than it used to do before downloading iOS 11.,@AppleSupport Yes! Lately my battery life lasts way less than it used to do before downloading iOS 11.,"@119564 Got it. DM us, and we'll look into this deeper. https://t.co/GDrqU22YpT",battery_charging_issue,no,
1961,facing problem with google maps on my iPhone 6 after updation of iOS 11.1.2 as map not taking my location and showing driving directions please support,@AppleSupport facing problem with google maps on my iPhone 6 after updation of iOS 11.1.2 as map not taking my location and showing driving directions please support,@135090 We'd be happy to see what's going on with your location. Are you seeing the same behavior in the Maps app?,app_or_feature_issue,no,
573,Hey this is what happened after 10.13.1 please advise.!!,Hey @AppleSupport this is what happened after 10.13.1 please advise.!! https://t.co/ak14ZArtkf,@123175 We want your Mac to work as expected. Does this message come back up if you click the Restart button?,other_or_unclear,yes,
